5.0	Un avion decolează.	Un avion este în curs de decolare.	A plane is taking off.	An air plane is taking off.	4.8811787366867065	4.470259249210358
3.8	Un bărbat cântă la un flaut mare.	Un bărbat cântă la un flaut.	A man is playing a large flute.	A man is playing a flute.	4.8145440220832825	4.244698584079742
3.8	Un bărbat pune brânză mărunțită pe o pizza.	Un bărbat pune brânză mărunțită pe o pizza negătită.	A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	4.848105311393738	4.247413873672485
2.6	Trei bărbați joacă șah.	Doi bărbați joacă șah.	Three men are playing chess.	Two men are playing chess.	3.964313566684723	4.000588357448578
4.25	Un bărbat cântă la violoncel.	Un bărbat stând jos cântă la violoncel.	A man is playing the cello.	A man seated is playing the cello.	4.695485234260559	3.9000779390335083
4.25	Niște bărbați se luptă.	Doi bărbați se luptă.	Some men are fighting.	Two men are fighting.	3.281520903110504	4.266748130321503
0.5	Un bărbat fumează.	Un bărbat patinează.	A man is smoking.	A man is skating.	-0.3405828028917312	0.7434843480587006
1.6	Bărbatul cântă la pian.	Bărbatul cântă la o chitară.	The man is playing the piano.	The man is playing the guitar.	2.9025304317474365	1.7417128384113312
2.2	Un bărbat cântă la chitară și voce.	O femeie cântă la chitară acustică și voce.	A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	4.639320969581604	2.259034216403961
5.0	O persoană aruncă o pisică spre tavan.	O persoană aruncă o pisică către tavan.	A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	4.865203499794006	4.375074207782745
4.2	Bărbatul l-a lovit pe celălalt bărbat cu un băț.	Bărbatul l-a plesnit pe celălalt bărbat cu un băț.	The man hit the other man with a stick.	The man spanked the other man with a stick.	3.7852707505226135	4.014755487442017
4.6	O femeie ridică și ține un pui de cangur.	O femeie ridică și ține în brațe un pui de cangur.	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	4.272784888744354	4.1505807638168335
3.867	Un bărbat cântă la un flaut.	Un bărbat cântă la un flaut de bambus.	A man is playing a flute.	A man is playing a bamboo flute.	3.576622009277344	3.815954625606537
4.667	O persoană împăturește o bucată de hârtie.	Cineva împăturește o bucată de hârtie.	A person is folding a piece of paper.	Someone is folding a piece of paper.	4.742269515991211	4.183661043643951
1.667	Un bărbat aleargă pe drum.	Un câine panda aleargă pe drum.	A man is running on the road.	A panda dog is running on the road.	1.7142359912395475	2.465527355670929
3.75	Un câine încearcă să dea jos șuncă de pe spatele lui.	Un câine încearcă să mănânce șunca de pe spatele lui.	A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	4.831202328205109	3.6231839656829834
5.0	Ursul polar alunecă pe zăpadă.	Un urs polar alunecă de-a lungul zăpadezii.	The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	4.750531911849976	3.964034914970398
0.5	O femeie scrie.	O femeie înoată.	A woman is writing.	A woman is swimming.	1.794535666704178	0.5291468277573586
3.8	O pisică se freacă de fața bebelușului.	O pisică se freacă de un bebeluș.	A cat is rubbing against baby's face.	A cat is rubbing against a baby.	4.726938009262085	3.871767222881317
5.0	Barbatul călărește un cal.	Un bărbat calareste pe un cal.	The man is riding a horse.	A man is riding on a horse.	4.947464764118195	4.190462827682495
3.2	Un barbat toarnă ulei într-o oală.	Un barbat toarnă vin într-o oală.	A man pours oil into a pot.	A man pours wine in a pot.	3.173233568668365	3.4953629970550537
2.8	Un bărbat cântă la o chitară.	O fată cântă la o chitară.	A man is playing a guitar.	A girl is playing a guitar.	4.52815979719162	2.4401260912418365
4.6	Un panda alunecă pe un tobogan.	Un panda alunecă pe un tobogan.	A panda is sliding down a slide.	A panda slides down a slide.	4.381593465805054	4.353015422821045
3.0	O femeie mănâncă ceva.	O femeie mănâncă carne.	A woman is eating something.	A woman is eating meat.	3.455040752887726	3.0501848459243774
5.0	O femeie curăță un cartof.	O femeie curăță un cartof.	A woman peels a potato.	A woman is peeling a potato.	4.691927134990692	4.430196583271027
4.8	Băiatul a căzut de pe bicicletă.	Un băiat cade de pe bicicletă.	The boy fell off his bike.	A boy falls off his bike.	4.811833202838898	4.109770655632019
5.0	Femeia cântă la flaut.	O femeie cântă la un flaut.	The woman is playing the flute.	A woman is playing a flute.	4.879055619239807	4.343530237674713
4.2	Un iepure fuge de un vultur.	Un iepure de câmp fuge de un vultur.	A rabbit is running from an eagle.	A hare is running from a eagle.	3.7485355138778687	4.48238730430603
4.2	Femeia prăjește un cotlet de porc.	O femeie gătește un cotlet de porc.	The woman is frying a breaded pork chop.	A woman is cooking a breaded pork chop.	4.737489223480225	4.246555864810944
4.0	O fată înalță un zmeu.	O fată aleargă și înalță un zmeu.	A girl is flying a kite.	A girl running is flying a kite.	4.740551710128784	3.9099135994911194
4.0	Un bărbat călărește un taur mecanic.	Un bărbat a călărit un taur mecanic.	A man is riding a mechanical bull.	A man rode a mechanical bull.	4.194163680076599	4.360941052436829
4.909	Bărbatul cântă la chitară.	Un bărbat cântă la o chitară.	The man is playing the guitar.	A man is playing a guitar.	4.896479547023773	4.016875922679901
3.0	O femeie dansează și cântă cu alte femei.	O femeie dansează și cântă în ploaie.	A woman is dancing and singing with other women.	A woman is dancing and singing in the rain.	4.088725745677948	2.0258674025535583
2.4	Un bărbat taie o chiflă.	Un bărbat taie o ceapă.	A man is slicing a bun.	A man is slicing an onion.	2.0949675142765045	2.595565915107727
4.2	Un bărbat toarnă ulei într-o tigaie.	Un bărbat toarnă ulei într-o cratiță.	A man is pouring oil into a pan.	A man is pouring oil into a skillet.	3.1031838059425354	4.089485704898834
3.4	Un leu se joacă cu niște oameni.	Un leu se joacă cu doi bărbați.	A lion is playing with people.	A lion is playing with two men.	4.138541519641876	2.770770788192749
5.0	Un câine merge pe skateboard.	Un câine merge pe un skateboard.	A dog rides a skateboard.	A dog is riding a skateboard.	4.59938645362854	4.433203041553497
3.75	Cineva sculptează o statuie.	Un bărbat sculptează o statuie.	Someone is carving a statue.	A man is carving a statue.	4.227621555328369	4.126116037368774
2.75	O femeie taie o ceapă.	Un bărbat tăie o ceapă.	A woman is slicing an onion.	A man is cutting an onion.	3.906735181808472	3.3813175559043884
5.0	O femeie curăță creveți.	O femeie curăță creveți.	A woman peels shrimp.	A woman is peeling shrimp.	4.314079582691193	4.519039690494537
4.0	O femeie prăjește pește.	O femeie gătește pește.	A woman is frying fish.	A woman is cooking fish.	4.647940695285797	4.096276760101318
3.6	O femeie cântă la o chitară electrică.	O femeie cântă la o chitară.	A woman is playing an electric guitar.	A woman is playing a guitar.	4.773967266082764	3.7886083126068115
1.6	Un pui de tigru se joacă cu o minge.	Un bebeluș se joacă cu o păpușă.	A baby tiger is playing with a ball.	A baby is playing with a doll.	0.8697021007537842	2.2762075066566467
